species,file,sequence,start,end,strand,gene,coverage,coverage_map,gaps,coverage_pec,identity_perc,database,accession,product,resistance,record
P. aeruginosa 155M3,genome9.fasta,NODE_28_length_58067_cov_3.317882,36780,39917,-,mexY,1-3141/3141,========/======,8/9,99.81,99.14,card,AB015853:1330-4471,MexY is the RND-type membrane protein of the efflux complex MexXY-OprM.,acridine_dye;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;phenicol;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_28_length_58067_cov_3.317882,39933,41112,-,mexX,1-1170/1170,========/======,7/10,100.0,98.05,card,AB015853:145-1315,MexX is the membrane fusion protein of the MexXY-OprM multidrug efflux complex.,acridine_dye;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;phenicol;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_2_length_402934_cov_3.773411,65019,66149,+,mexV,1-1131/1131,===============,0/0,100.0,99.56,card,AE004091.2:4903465-4904596,MexV is the membrane fusion protein of the MexVW-OprM multidrug efflux complex.,acridine_dye;fluoroquinolone;macrolide;phenicol;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_2_length_402934_cov_3.773411,66200,69256,+,mexW,1-3057/3057,===============,0/0,100.0,99.48,card,NC_002516.2:4904646-4907703,MexW is the RND-type membrane protein of the efflux complex MexVW-OprM.,acridine_dye;fluoroquinolone;macrolide;phenicol;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_2_length_402934_cov_3.773411,311153,312592,-,OprJ,1-1440/1440,===============,0/0,100.0,98.96,card,U57969:4622-6062,OprJ is the outer membrane channel component of the MexCD-OprJ multidrug efflux complex.,aminocoumarin;aminoglycoside;cephalosporin;diaminopyrimidine;fluoroquinolone;macrolide;penam;phenicol;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_2_length_402934_cov_3.773411,312598,315729,-,MexD,1-3132/3132,========/======,2/2,99.97,99.46,card,U57969:1485-4617,MexD is the multidrug inner membrane transporter of the MexCD-OprJ complex.,aminocoumarin;aminoglycoside;cephalosporin;diaminopyrimidine;fluoroquinolone;macrolide;penam;phenicol;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_2_length_402934_cov_3.773411,315757,316920,-,MexC,1-1164/1164,===============,0/0,100.0,99.31,card,U57969:294-1458,MexC is the membrane fusion protein of the MexCD-OprJ multidrug efflux complex.,aminocoumarin;aminoglycoside;cephalosporin;diaminopyrimidine;fluoroquinolone;macrolide;penam;phenicol;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_4_length_360138_cov_3.495149,338352,338759,+,fosA,1-408/408,===============,0/0,100.0,99.27,card,AE004091.2:1221690-1222098,An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin rendering it ineffective as an antibacterial drug.,fosfomycin,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_5_length_357024_cov_4.010546,183150,184343,+,PDC-3,1-1194/1194,===============,0/0,100.0,99.58,card,FJ666066:0-1194,PDC-3 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.,carbapenem;cephalosporin;monobactam,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_5_length_357024_cov_4.010546,196686,197492,-,APH(3')-IIb,1-807/807,===============,0/0,100.0,97.77,card,X90856:387-1194,APH(3')-IIb is a chromosomal-encoded aminoglycoside phosphotransferase in P. aeruginosa,aminoglycoside,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_5_length_357024_cov_4.010546,214197,215405,-,bcr-1,1-1209/1209,===============,0/0,100.0,99.59,card,CP012901.1:5980365-5979156,Transmembrane protein which expels bicyclomycin from the cell leading to bicyclomycin resistance. Identified in Pseudomonas aeruginosa strains responsible for outbreaks in Brazil often appearing with blaSPM-1 another bicyclomycin resistance gene,bicyclomycin,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_5_length_357024_cov_4.010546,295080,295526,+,mexG,1-447/447,===============,0/0,100.0,99.78,card,AE004091.2:4705955-4706402,MexG is a membrane protein required for MexGHI-OpmD efflux activity.,acridine_dye;fluoroquinolone;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_5_length_357024_cov_4.010546,295534,296646,+,mexH,1-1113/1113,===============,0/0,100.0,99.55,card,AE004091.2:4706409-4707522,MexH is the membrane fusion protein of the efflux complex MexGHI-OpmD.,acridine_dye;fluoroquinolone;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_5_length_357024_cov_4.010546,296659,299748,+,mexI,1-3090/3090,===============,0/0,100.0,99.9,card,AE004091.2:4707534-4710624,MexI is the inner membrane transporter of the efflux complex MexGHI-OpmD.,acridine_dye;fluoroquinolone;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_5_length_357024_cov_4.010546,299745,301208,+,opmD,1-1464/1464,===============,0/0,100.0,99.8,card,AE004091.2:4710620-4712084,OpmD is the outer membrane channel protein of the efflux complex MexGHI-OpmD.,acridine_dye;fluoroquinolone;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_6_length_344934_cov_3.750588,122877,123209,-,Pseudomonas_aeruginosa_emrE,1-333/333,===============,0/0,100.0,98.8,card,AE004091.2:5606102-5606435,EmrE is a small multidrug transporter that functions as a homodimer and that couples the efflux of small polyaromatic cations from the cell with the import of protons down an electrochemical gradient. Confers resistance to tetraphenylphosphonium methyl viologen gentamicin kanamycin and neomycin.,aminoglycoside,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_6_length_344934_cov_3.750588,143765,145213,-,OpmH,1-1449/1449,===============,0/0,100.0,99.93,card,AE004091.2:5584100-5585549,OpmH is an outer membrane efflux protein required for triclosan-specific efflux pump function.,triclosan,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_7_length_301797_cov_3.606235,31699,32943,+,MexE,1-1245/1245,===============,0/0,100.0,99.84,card,AE004091.2:2808742-2809987,MexE is the membrane fusion protein of the MexEF-OprN multidrug efflux complex.,diaminopyrimidine;fluoroquinolone;phenicol,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_7_length_301797_cov_3.606235,32965,36153,+,MexF,1-3189/3189,===============,0/0,100.0,99.78,card,AE004091.2:2810008-2813197,MexF is the multidrug inner membrane transporter of the MexEF-OprN complex. mexF corresponds to 2 loci in Pseudomonas aeruginosa PAO1 (gene name: mexF/mexB) and 4 loci in Pseudomonas aeruginosa LESB58 (gene name: mexD/mexB).,diaminopyrimidine;fluoroquinolone;phenicol,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_7_length_301797_cov_3.606235,36150,37568,+,OprN,1-1419/1419,===============,0/0,100.0,99.86,card,AE004091.2:2813193-2814612,OprN is the outer membrane channel component of the MexEF-OprN multidrug efflux complex.,diaminopyrimidine;fluoroquinolone;phenicol,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_7_length_301797_cov_3.606235,69240,70736,-,OpmB,1-1497/1497,===============,0/0,100.0,99.6,card,AE004091.2:2847779-2846282,OpmB is an outer membrane efflux protein in Pseudomonas aeruginosa that shows functional cooperation with MuxABC to form the efflux pump system MuxABC-OpmB.,aminocoumarin;macrolide;monobactam;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_7_length_301797_cov_3.606235,70733,73843,-,MuxC,1-3111/3111,===============,0/0,100.0,99.74,card,AE004091.2:2850886-2847775,MuxC is one of the two necessary RND components of the MuxABC-OpmB efflux pumps system in Pseudomonas aeruginosa.,aminocoumarin;macrolide;monobactam;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_7_length_301797_cov_3.606235,73840,76971,-,MuxB,1-3132/3132,===============,0/0,100.0,99.81,card,AE004091.2:2854014-2850882,MuxB is one of the two necessary RND components in the Pseudomonas aeruginosa efflux pump system MuxABC-OpmB.,aminocoumarin;macrolide;monobactam;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_7_length_301797_cov_3.606235,76968,78248,-,MuxA,1-1281/1281,===============,0/0,100.0,99.77,card,AE004091.2:2855291-2854010,MuxA is a membrane fusion protein component of the efflux pump system MuxABC-OpmB in Pseudomonas aeruginosa.,aminocoumarin;macrolide;monobactam;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_8_length_292304_cov_4.010760,243244,244701,-,OprM,1-1458/1458,===============,0/0,100.0,99.79,card,AE004091.2:476332-477790,OprM is an outer membrane factor protein found in Pseudomonas aeruginosa and Burkholderia vietnamiensis. It is part of the MexAB-OprM MexVW-OprM MexXY-OprM and the AmrAB-OprM complex.,acridine_dye;aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_8_length_292304_cov_4.010760,244703,247843,-,MexB,1-3141/3141,===============,0/0,100.0,99.78,card,L11616:1569-4710,MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.,aminocoumarin;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_8_length_292304_cov_4.010760,247859,249009,-,MexA,1-1152/1152,========/======,1/1,99.91,99.83,card,AE004091.2:472023-473175,MexA is the membrane fusion protein of the MexAB-OprM multidrug efflux complex.,aminocoumarin;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline,155M3
P. aeruginosa 155M3,genome9.fasta,NODE_9_length_276936_cov_4.240922,114124,114912,-,OXA-50,1-789/789,===============,0/0,100.0,99.62,card,AY306130:0-789,OXA-50 is a beta-lactamase found in Pseudomonas aeruginosa. It confers decreased susceptibility to ampicillin and ticarcillin and interestingly to moxalactam and meropenem in P. aeruginosa but not in E. coli. Also confers resistance to piperacillin-tazobactam and cephalotin.,cephalosporin;penam,155M3
A. pittii 466A,genome27.fasta,NODE_24_length_58342_cov_10.206308,8027,9478,-,adeK,1-1455/1455,========/======,1/3,99.79,93.54,card,AY769962:5610-7065,AdeK is the outer membrane factor protein in the adeIJK multidrug efflux complex.,carbapenem;cephalosporin;diaminopyrimidine;fluoroquinolone;lincosamide;macrolide;penem;phenicol;rifamycin;tetracycline,466A
A. pittii 466A,genome27.fasta,NODE_24_length_58342_cov_10.206308,9478,12654,-,adeJ,1-3177/3177,===============,0/0,100.0,91.72,card,AY769962:2434-5611,AdeJ is a RND efflux protein that acts as the inner membrane transporter of the AdeIJK efflux complex. It has 57% identity with E. coli AcrB.,carbapenem;cephalosporin;diaminopyrimidine;fluoroquinolone;lincosamide;macrolide;penem;phenicol;rifamycin;tetracycline,466A
A. pittii 466A,genome27.fasta,NODE_24_length_58342_cov_10.206308,12667,13914,-,adeI,1-1251/1251,========/======,1/3,99.76,90.01,card,CP001182.2:3283426-3284677,AdeI is the membrane fusion protein of the AdeIJK multidrug efflux complex.,carbapenem;cephalosporin;diaminopyrimidine;fluoroquinolone;lincosamide;macrolide;penem;phenicol;rifamycin;tetracycline,466A
A. pittii 466A,genome27.fasta,NODE_2_length_218443_cov_11.641488,29622,30968,-,abeM,1-1347/1347,===============,0/0,100.0,88.2,card,AB204810:186-1533,AbeM is an multidrug efflux pump found in Acinetobacter baumannii.,acridine_dye;fluoroquinolone;triclosan,466A
A. pittii 466A,genome27.fasta,NODE_35_length_41489_cov_8.417734,18385,19536,+,ADC-22,1-1152/1152,===============,0/0,100.0,99.91,card,AM283519.1:0-1152,ADC-22 is a beta-lactamase found in Acinetobacter pittii.,cephalosporin,466A
A. pittii 466A,genome27.fasta,NODE_40_length_36118_cov_7.909520,18949,20427,-,Acinetobacter_baumannii_AmvA,1-1479/1479,========/======,2/6,99.8,90.62,card,FJ911554.1:176-1655,AmvA has 14 alpha-helical transmembrane segments qualifying it as a member of the DHA2 transporter family of the major facilitator superfamily (MFS). When AmvA was expressed in E. coli  the cells had at least four-fold decreased susceptibility to erythromycin acridine orange acriflavine deoxycholate and methyl viologen. AmvA from the AC0037 strain of A. baumannii was tested.,acridine_dye;macrolide,466A
A. pittii 466A,genome27.fasta,NODE_42_length_33806_cov_8.853443,7397,8701,+,Acinetobacter_baumannii_AbaQ,1-1305/1305,===============,0/0,100.0,94.33,card,CP001182.2:2256889-2255584,AbaQ is an MFS transporter mainly involved in the extrusion of quinolone-type drugs in A. baumannii,fluoroquinolone,466A
A. pittii 466A,genome27.fasta,NODE_4_length_154001_cov_8.234084,11879,12700,-,OXA-421,1-822/822,===============,0/0,100.0,100.0,card,KM401566.1:2033-1211,From the Lahey list of beta-lactamases. Not yet released.,cephalosporin;penam,466A
A. pittii 466A,genome27.fasta,NODE_6_length_138779_cov_9.998017,69669,70889,-,adeG,1-1221/1221,===============,0/0,100.0,90.42,card,CT025800.2:0-1221,AdeG is the inner membrane transporter of the AdeFGH multidrug efflux complex.,fluoroquinolone;tetracycline,466A
A. pittii 466A,genome27.fasta,NODE_6_length_138779_cov_9.998017,71108,72116,+,adeL,1-1009/1014,===============,0/0,99.51,92.67,card,KR297239.1:1428-414,AdeL is a regulator of AdeFGH in Acinetobacter baumannii. AdeL mutations are associated with AdeFGH overexpression and multidrug resistance.,fluoroquinolone;tetracycline,466A
A. pittii 466A,genome27.fasta,NODE_6_length_138779_cov_9.998017,75434,75763,-,abeS,1-330/330,===============,0/0,100.0,90.91,card,CP001172.1:1249348-1249018,AbeS in an efflux pump of the SMR family of transporters found in Acinetobacter baumannii.,aminocoumarin;macrolide,466A
E. coli 508A,genome38.fasta,NODE_10_length_135605_cov_6.861017,5222,8326,-,acrF,1-3105/3105,===============,0/0,100.0,97.52,card,U00096:3415032-3418137,AcrF is a inner membrane transporter similar to AcrB.,cephalosporin;cephamycin;fluoroquinolone;penam,508A
E. coli 508A,genome38.fasta,NODE_10_length_135605_cov_6.861017,8338,9495,-,acrE,1-1158/1158,===============,0/0,100.0,98.19,card,U00096:3413863-3415021,AcrE is a membrane fusion protein similar to AcrA.,cephalosporin;cephamycin;fluoroquinolone;penam,508A
E. coli 508A,genome38.fasta,NODE_10_length_135605_cov_6.861017,9894,10556,+,acrS,1-663/663,===============,0/0,100.0,97.59,card,U00096:3413465-3412802,AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.,cephalosporin;cephamycin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,508A
E. coli 508A,genome38.fasta,NODE_15_length_103018_cov_6.797812,42220,43686,-,mdtP,1-1467/1467,===============,0/0,100.0,96.45,card,AP009048.1:4304509-4303042,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride,acridine_dye;nucleoside,508A
E. coli 508A,genome38.fasta,NODE_15_length_103018_cov_6.797812,43683,45734,-,mdtO,1-2052/2052,===============,0/0,100.0,96.59,card,AP009048.1:4306557-4304505,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride,acridine_dye;nucleoside,508A
E. coli 508A,genome38.fasta,NODE_15_length_103018_cov_6.797812,45734,46765,-,mdtN,1-1032/1032,===============,0/0,100.0,97.67,card,AP009048.1:4307588-4306556,Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride.,acridine_dye;nucleoside,508A
E. coli 508A,genome38.fasta,NODE_15_length_103018_cov_6.797812,75946,77589,-,eptA,1-1644/1644,===============,0/0,100.0,98.24,card,AP009048:4340268-4338624,PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine resulting in a less negative cell membrane and decreased binding of polymyxin B.,peptide,508A
E. coli 508A,genome38.fasta,NODE_17_length_95020_cov_6.993647,25347,26720,+,cpxA,1-1374/1374,===============,0/0,100.0,98.91,card,BA000007.3:4905062-4903688,CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.,aminocoumarin;aminoglycoside,508A
E. coli 508A,genome38.fasta,NODE_18_length_94264_cov_6.306282,69442,70119,+,kdpE,1-678/678,===============,0/0,100.0,95.58,card,U00096.3:721733-721055,kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.,aminoglycoside,508A
E. coli 508A,genome38.fasta,NODE_1_length_478157_cov_6.075480,105408,106616,+,mdtH,1-1209/1209,===============,0/0,100.0,98.02,card,U00096:1125326-1124117,Multidrug resistance protein MdtH,fluoroquinolone,508A
E. coli 508A,genome38.fasta,NODE_1_length_478157_cov_6.075480,115247,116473,+,mdtG,1-1227/1227,===============,0/0,100.0,98.29,card,CP000800.1:1192954-1191727,The MdtG protein also named YceE appears to be a member of the major facilitator superfamily of transporters and it has been reported when overexpressed to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.,fosfomycin,508A
E. coli 508A,genome38.fasta,NODE_1_length_478157_cov_6.075480,249269,251017,-,msbA,1-1749/1749,===============,0/0,100.0,98.86,card,U00096.3:966620-968369,MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.,nitroimidazole,508A
E. coli 508A,genome38.fasta,NODE_1_length_478157_cov_6.075480,369405,370637,-,Escherichia_coli_mdfA,1-1233/1233,===============,0/0,100.0,96.84,card,JQ394987:0-1233,Multidrug efflux pump in E. coli. This multidrug efflux system was originally identified as the Cmr/CmlA chloramphenicol exporter.,benzalkonium_chloride;rhodamine;tetracycline,508A
E. coli 508A,genome38.fasta,NODE_22_length_56068_cov_6.742911,1592,2005,+,H-NS,1-414/414,===============,0/0,100.0,99.52,card,BA000007.3:1738104-1737690,H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.,cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline,508A
E. coli 508A,genome38.fasta,NODE_24_length_47253_cov_6.610192,17772,18983,-,mdtM,22-1233/1233,===============,0/0,98.3,95.55,card,U00096.3:4568519-4567286,Multidrug resistance protein MdtM,acridine_dye;fluoroquinolone;lincosamide;nucleoside;phenicol,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,99582,100550,-,pmrF,1-969/969,===============,0/0,100.0,97.94,card,U00096:2367070-2368039,PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,peptide,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,160728,162371,+,yojI,1-1644/1644,===============,0/0,100.0,97.75,card,U00096.3:2308615-2306971,YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.,peptide,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,301291,302012,-,baeR,1-722/723,===============,0/0,99.86,96.95,card,AP009048.1:2166412-2167135,BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.,aminocoumarin;aminoglycoside,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,302009,303412,-,baeS,1-1404/1404,===============,0/0,100.0,92.17,card,AP009048:2165012-2166416,BaeS is a sensor kinase in the BaeSR regulatory system. While it phosphorylates BaeR to increase its activity BaeS is not necessary for overexpressed BaeR to confer resistance.,aminocoumarin;aminoglycoside,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,304825,307902,-,mdtC,1-3078/3078,===============,0/0,100.0,96.69,card,U00096:2158385-2161463,MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.,aminocoumarin,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,307903,311025,-,mdtB,1-3123/3123,===============,0/0,100.0,96.93,card,U00096:2155262-2158385,MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.,aminocoumarin,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,311025,312272,-,mdtA,1-1248/1248,===============,0/0,100.0,96.47,card,U00096:2154015-2155263,MdtA is the membrane fusion protein of the multidrug efflux complex mdtABC.,aminocoumarin,508A
E. coli 508A,genome38.fasta,NODE_2_length_400467_cov_5.989432,366041,367207,+,ugd,1-1167/1167,===============,0/0,100.0,97.34,card,U00096:2099613-2098446,PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin,peptide,508A
E. coli 508A,genome38.fasta,NODE_31_length_39881_cov_6.879317,10573,10905,+,Escherichia_coli_emrE,1-333/333,===============,0/0,100.0,99.4,card,Z11877.1:485-818,Member of the small MDR (multidrug resistance) family of transporters; in Escherichia coli this protein provides resistance against a number of positively charged compounds including ethidium bromide and erythromycin; proton-dependent secondary transporter which exchanges protons for compound translocation,macrolide,508A
E. coli 508A,genome38.fasta,NODE_35_length_36735_cov_6.407495,838,1452,+,evgA,1-615/615,===============,0/0,100.0,99.35,card,BA000007.3:3212025-3212640,EvgA when phosphorylated is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner it can be phosphorylated in the absence of EvgS when overexpressed.,fluoroquinolone;macrolide;penam;tetracycline,508A
E. coli 508A,genome38.fasta,NODE_35_length_36735_cov_6.407495,1457,5050,+,evgS,1-3594/3594,===============,0/0,100.0,96.61,card,U00096:2484373-2487967,EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,fluoroquinolone;macrolide;penam;tetracycline,508A
E. coli 508A,genome38.fasta,NODE_36_length_33993_cov_6.071960,26757,27287,+,emrR,1-531/531,===============,0/0,100.0,99.44,card,U00096.3:2810769-2811300,EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.,fluoroquinolone,508A
E. coli 508A,genome38.fasta,NODE_36_length_33993_cov_6.071960,27414,28586,+,emrA,1-1173/1173,===============,0/0,100.0,98.12,card,AP009048:2810082-2811255,EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.,fluoroquinolone,508A
E. coli 508A,genome38.fasta,NODE_36_length_33993_cov_6.071960,28603,30141,+,emrB,1-1539/1539,===============,0/0,100.0,98.51,card,U00096:2812615-2814154,emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.,fluoroquinolone,508A
E. coli 508A,genome38.fasta,NODE_38_length_31022_cov_6.209035,2657,3040,-,marA,1-384/384,===============,0/0,100.0,100.0,card,AP009048.1:1621287-1621671,In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.,carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan,508A
E. coli 508A,genome38.fasta,NODE_40_length_29226_cov_6.848251,12946,14079,+,Escherichia_coli_ampC,1-1134/1134,===============,0/0,100.0,98.06,card,U00096.3:4378944-4377810,A class C ampC beta-lactamase (cephalosporinase) enzyme described in Escherichia coli shown clinically to confer resistance to penicillin-like and cephalosporin-class antibiotics.,cephalosporin;penam,508A
E. coli 508A,genome38.fasta,NODE_4_length_287152_cov_6.284540,121947,123104,-,Escherichia_coli_ampH,1-1158/1158,===============,0/0,100.0,97.32,card,AP012030.1:396711-395553,AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.,cephalosporin;penam,508A
E. coli 508A,genome38.fasta,NODE_4_length_287152_cov_6.284540,209353,212502,-,acrB,1-3150/3150,===============,0/0,100.0,98.95,card,U00096.3:484403-481253,Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,508A
E. coli 508A,genome38.fasta,NODE_4_length_287152_cov_6.284540,212525,213718,-,Escherichia_coli_acrA,1-1194/1194,===============,0/0,100.0,99.0,card,U00096.3:485619-484425,AcrA is a subunit of the AcrAB-TolC multidrug efflux system that in E. coli.,cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan,508A
E. coli 508A,genome38.fasta,NODE_65_length_10099_cov_7.545500,939,1412,+,dfrA17,1-474/474,===============,0/0,100.0,100.0,card,DQ838665:0-474,dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli,diaminopyrimidine,508A
E. coli 508A,genome38.fasta,NODE_65_length_10099_cov_7.545500,1543,2331,+,aadA5,1-789/789,===============,0/0,100.0,100.0,card,AF137361:63-852,aadA5 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons and integrons in E. coli K. pneumoniae Kluyvera georgiana P. aeruginosa and E. cloacae,aminoglycoside,508A
E. coli 508A,genome38.fasta,NODE_65_length_10099_cov_7.545500,2878,3717,+,sul1,1-840/840,===============,0/0,100.0,100.0,card,JF969163:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.,sulfonamide,508A
E. coli 508A,genome38.fasta,NODE_65_length_10099_cov_7.545500,9028,9933,-,mphA,1-906/906,===============,0/0,100.0,100.0,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.,macrolide,508A
E. coli 508A,genome38.fasta,NODE_6_length_210280_cov_6.060381,25590,26894,+,Escherichia_coli_ampC1_beta-lactamase,1-1305/1305,===============,0/0,100.0,95.25,card,FN649414.1:2765050-2766355,An ampC-like beta-lactamase identified from Escherichia coli.,cephalosporin;penam,508A
